Block,Neighborhood,BuildingClassification,TotalUnits,YearBuilt,GrossSqFt,EstGrossIncome,GrossIncomePerSqFt,FullMarketValue,MarketValuePerSqFt
00178,CIVIC CENTER,R2-WALK-UP,11,1915,24985,624000,24.97,2710000,108
00179,TRIBECA,R4-ELEVATOR,31,1915,88615,2259000,25.5,9810000,111
00180,TRIBECA,R4-ELEVATOR,20,1915,20750,622500,30,2980001,144
00188,TRIBECA,R4-ELEVATOR,36,1915,86451,2939334,34,14100000,163
00188,TRIBECA,R4-ELEVATOR,46,1910,83020,2822680,34,13500003,163
00189,TRIBECA,R9-CONDOPS,24,1915,52735,1338414,25.4,6130000,116
00189,TRIBECA,R4-ELEVATOR,14,1921,40581,1156558,28.5,5540001,137
00189,TRIBECA,R4-ELEVATOR,13,1915,53468,1657500,31,7940002,149
00189,TRIBECA,R9-CONDOPS,11,1915,18315,503662,27.5,2310000,126
00190,TRIBECA,R4-ELEVATOR,23,1915,86900,2780800,32,12999997,150
00190,TRIBECA,R4-ELEVATOR,57,1905,150010,4875000,32.5,23399999,156
00190,TRIBECA,R4-ELEVATOR,33,1924,119996,4439852,37,22300003,186
00190,TRIBECA,R4-ELEVATOR,26,2000,68033,2551237,37.5,12799997,188
00193,TRIBECA,R4-ELEVATOR,64,1915,119640,3828480,32,18299998,153
00193,TRIBECA,R4-ELEVATOR,15,2005,34587,1452654,42,7290000,211
00202,CHINATOWN,R4-ELEVATOR,167,1985,163160,4895000,30,23400042,143
00204,CHINATOWN,R4-ELEVATOR,61,2004,60962,2164151,35.5,10399998,171
00206,CHINATOWN,R4-ELEVATOR,23,2003,46545,1861000,40,9330000,200
00208,CHINATOWN,R4-ELEVATOR,27,1900,70649,2296095,32.5,11000003,156
00212,TRIBECA,R4-ELEVATOR,50,1915,122640,3801840,31,18199997,148
00212,TRIBECA,R4-ELEVATOR,34,1890,67451,2158432,32,10300001,153
00214,TRIBECA,R4-ELEVATOR,35,2004,138798,4649733,33.5,22300003,161
00215,TRIBECA,R4-ELEVATOR,24,1930,66444,1860432,28,8909999,134
00217,TRIBECA,R4-ELEVATOR,33,1853,100894,3330000,33,16000000,159
00218,TRIBECA,R4-ELEVATOR,65,2004,163128,6198864,38,31099998,191
00219,TRIBECA,R4-ELEVATOR,28,1920,88897,2489116,28,11900000,134
00219,TRIBECA,R4-ELEVATOR,16,1930,37785,1057980,28,5070000,134
00219,TRIBECA,R4-ELEVATOR,12,1915,51647,1497763,29,7169998,139
00220,TRIBECA,R4-ELEVATOR,31,1920,94924,3156223,33.3,15100003,159
00220,TRIBECA,R4-ELEVATOR,33,1900,73257,1868053,25.5,8110008,111
00222,TRIBECA,R4-ELEVATOR,20,1962,36435,1056615,29,5060000,139
00222,TRIBECA,R4-ELEVATOR,27,1920,88496,2743376,31,13100001,148
00225,TRIBECA,R9-CONDOPS,38,1910,73919,1921894,26,8800000,119
00228,SOHO,R4-ELEVATOR,11,2003,25300,907232,35.9,4349999,172
00231,SOHO,R4-ELEVATOR,16,1910,44653,1250284,28,5990001,134
00234,CHINATOWN,R4-ELEVATOR,18,1911,45148,1343153,29.8,6430001,142
00235,CHINATOWN,R4-ELEVATOR,12,1915,28370,865463,30.5,4149999,146
00236,CHINATOWN,R4-ELEVATOR,39,1990,25786,812259,31.5,3890007,151
00239,CHINATOWN,R4-ELEVATOR,80,1929,85956,2370000,27.6,11399991,133
00273,LOWER EAST SIDE,R4-ELEVATOR,13,1912,19597,509522,26,2210003,113
00274,LOWER EAST SIDE,R4-ELEVATOR,26,1990,27046,649104,24,2819997,104
00274,LOWER EAST SIDE,R4-ELEVATOR,80,2002,43850,1995175,45.5,9999990,228
00274,LOWER EAST SIDE,R4-ELEVATOR,16,2004,9744,389760,40,1950004,200
00276,LOWER EAST SIDE,R4-ELEVATOR,12,1991,5700,228000,40,1140008,200
00277,CHINATOWN,R4-ELEVATOR,74,1989,47161,1603474,34,7679999,163
00277,CHINATOWN,R4-ELEVATOR,32,1991,25805,825760,32,3960000,153
00277,CHINATOWN,R2-WALK-UP,20,1900,11358,227160,20,986000,87
00283,LOWER EAST SIDE,R4-ELEVATOR,28,1988,19924,547910,27.5,2619998,131
00284,LOWER EAST SIDE,R4-ELEVATOR,24,1907,21645,551947,25.5,2400001,111
00284,LOWER EAST SIDE,R4-ELEVATOR,30,1928,21223,541186,25.5,2350001,111
00284,LOWER EAST SIDE,R4-ELEVATOR,29,1912,43723,1180521,27,5649997,129
00297,LOWER EAST SIDE,R4-ELEVATOR,35,1990,23604,708120,30,3390000,144
00297,LOWER EAST SIDE,R4-ELEVATOR,16,2002,31406,942180,30,4509995,144
